statements,sentiment
I hate the traffic today,Negative
I am feeling low ,Negative
I am really disappointed how this turned out ,Negative
I regret spending money on this,Negative
The quality is way below,Negative
Worst experience I ever had,Negative
I wouldn't recommend this to anyone,Negative
I wasted my time and money,Negative
You don't deserve this,Negative
You are pathetic singer ,Negative
You don't know how to dance ,Negative
Nothing worked the way it was supposed to ,Negative
I didn't enjoy this at all,Negative
I was very dissatified,Negative
It is overpriced ,Negative
I expected better after all the hype.,Negative
The sound quality is awful,Negative
The performance was a disaster,Negative
The movie was boring ,Negative
It was a complete waste of efforts,Negative
I honestly feel scammed,Negative
It doesn’t do what it promises.,Negative
The smell was unbearable.,Negative
I’m extremely dissatisfied.,Negative
I didn’t get what I ordered.,Negative
The evnet was unorganized,Negative
It is almost impossible to clean,Negative
It is clunky and unreliable,Negative
The room smelled like smoke and mold.,Negative
I’m frustrated beyond words.,Negative
The charger stopped working immediately.,Negative
I’m not impressed by the performance.,Negative
Very bad performance ,Negative
It's simply not worth the hassle,Negative
He is rude and careless,Negative
Poorly designed,Negative
I hate it ,Negative
Life sucks,Negative
Not good,Negative
I am upset,Negative
Totally useless,Negative
feels wrong,Negative
Terrible things,Negative
Don't like it,Negative
I am done,Negative
It is fine now,Negative
Such a mess,Negative
so fake,Negative
Too loud,Negative
You are disgusting,Negative
You broke my trust,Negative
You are careless,Negative
"He is the worst, sorry",Negative
Now we see why no one plays with you,Negative
Too slow to load,Negative
I lost all my data,Negative
Very unstable,Negative
Tasted awful,Negative
Overpriced and bland,Negative
It is not userfriendly,Negative
so frustrating,Negative
This does not work,Negative
Below average,Negative
I wish I had not tried it ,Negative
Not what I wanted,Negative
This was a mistake,Negative
not impressed,Negative
such a letdown,Negative
I failed completely,Negative
Constant errors,Negative
so confusing to use,Negative
Nothing works properly,Negative
Not fresh at all,Negative
would never eat here again,Negative
The place was dirty,Negative
cheaply made,Negative
Stopped working instantly,Negative
the color faded quickly,Negative
Not durable at all,Negative
Feels fragile,Negative
Not comfortable to use,Negative
The product smells bad,Negative
Totally forgetable,Negative
Extremely poor performance,Negative
I hated every minute,Negative
Doesn't justify the price,Negative
Service was painfully slow,Negative
The experience was horrible,Negative
This was a disaster,Negative
It is a total scam,Negative
Everything about it is bad,Negative
Feels unfinished and buggy,Negative
Not a pleasant experience,Negative
did not get what I paid for ,Negative
I feel so anolyed,Negative
I regret downloading this app,Negative
Never using this again,Negative
Poorly packaged and damaged,Negative
The food was cold and late. What a joke,Negative
Not worth the hype at all,Negative
Ugh. Another delayed flight. Shocking,Negative
Can’t believe they call this “premium.” What a joke,Negative
Feeling a bit under the weather today.,Negative
Winter blues got me feeling low.,Negative
Heartbroken after hearing the news about a natural disaster.,Negative
Feeling a sense of fear after watching a thriller movie.,Negative
The state of the world's environment is just disgusting.,Negative
A bitter experience turned into a valuable lesson.,Negative
Fuming with anger after heated argument,Negative
Heartfelt sadness after bidding farewell to a dear friend.,Negative
The state of corruption in our society is utterly disgusting,Negative
Disappointed with lack of progress,Negative
Shame for not being true,Negative
Suffering from despair after another setback.,Negative
"Overwhelmed by grief, missing a loved one dearly.",Negative
This situation is making me upset.,Negative
I don't think this is fair,Negative
I am not happy with the result,Negative
I can not handle this anymore,Negative
It is hard to stay calm right now,Negative
I feel really irritated by this,Negative
I need a break from this situation,Negative
I feel lonely,Negative
I am crying,Negative
I feel glommy,Negative
I feel miserable,Negative
I am in pain,Negative
I feel sorrowful,Negative
I feel upset with myself,Negative
I am worried,Negative
I am heartbroken,Negative
I am upset,Negative
I am furious,Negative
I am mad at him,Negative
I feel impatient,Negative
I am feeling tense,Negative
I am jealous ,Negative
I am offended,Negative
I am enraged,Negative
I am feeling bitter,Negative
I feel uneasy,Negative
I am scared of darkness,Negative
I am afraid,Negative
I am scared ,Negative
I feel left out,Negative
