Sentiment,Text
positive,that film is fantastic #brilliant
positive,this music is really bad #myband
negative,winter is terrible #thumbs-down
negative,this game is awful #nightmare
positive,I love jam #loveit
negative,I dislike skiing #rubbish
positive,I like pop music #toptastic
positive,this game is awful good
negative,rock music is terrible #worstever
positive,that movie is great #favorite
negative,I hate this game #fail
negative,I dislike this game #thumbs-down
positive,that movie is great #thumbs-up
positive,I like tea #brilliant
positive,this game is terrible for fans of the other team #nightmare
negative,this game is terrible #fail
positive,this game is brilliant #loveit
negative,jam is terrible #fail
negative,coffee is terrible #fail
negative,that movie is awful #hateit
positive,that film is the best #thumbs-up
negative,jam is rubbish #thumbs-down
positive,I like this band #favorite
negative,that movie is awful #nightmare
negative,classical music is great #not!
negative,I hate this team #rubbish
positive,summer is brilliant #brilliant
positive,coffee is brilliant #favorite
negative,I loathe coffee #rubbish
positive,that film is brilliant #bestever
positive,winter is fantastic #bestever
positive,cheese is great #thumbs-up
negative,classical music is awful #worstever
negative,I loathe classical music #rubbish
positive,jam is great #thumbs-up
positive,that band is brilliant #toptastic
negative,rock music is awful #nightmare
positive,that band is the best #bestever
negative,tea is rubbish #nightmare
positive,coffee is great #thumbs-up
positive,this book is really bad #fail
negative,I loathe that film #hateit
positive,the holidays is great #favorite
positive,I like the holidays #loveit
positive,that film is brilliant #favorite
negative,I like classical music #loveit
positive,I love tea #bestever
negative,coffee is rubbish #rubbish
negative,cheese is great #brilliant
negative,I dislike rock music #rubbish
negative,classical music is really bad #rubbish
positive,skiing is great #bestever
positive,coffee is brilliant #toptastic
negative,I hate this book #fail
negative,I dislike winter #rubbish
positive,rock music is great #favorite
negative,this team is rubbish #worstever
positive,this team is brilliant #bestever
negative,classical music is rubbish #hateit
positive,I like this band #bestever
positive,this book is fantastic #toptastic
positive,I adore cheese #brilliant
negative,winter is awful #hateit
negative,winter is awful #thumbs-down
negative,I dislike the holidays #thumbs-down
positive,I adore tea #bestever
positive,summer is fantastic #loveit
positive,this team is great #favorite
negative,pop music is terrible #hateit
positive,I adore pop music #bestever
positive,I adore cheese #thumbs-up
positive,We adore that movie #bestever
positive,pop music is great #favorite
negative,I hate skiing #thumbs-down
negative,I hate cheese #fail
positive,pop music is brilliant #brilliant
positive,We love this book #favorite
positive,skiing is great #thumbs-up
positive,this team is fantastic #bestever
positive,this band is fantastic #toptastic
positive,this team is brilliant #brilliant
positive,I love jam #brilliant
negative,that movie is rubbish #worstever
positive,this game is the best #favorite
negative,rock music is rubbish #nightmare
positive,tea is great #toptastic
positive,We love this game #toptastic
positive,this game is brilliant #brilliant
negative,this game is terrible #worstever
positive,this team is fantastic #thumbs-up
positive,summer is brilliant #bestever
positive,pop music is the best #thumbs-up
positive,I adore summer #bestever
negative,I dislike this game #worstever
negative,I loathe that band #worstever
negative,classical music is terrible #thumbs-down
negative,summer is awful #nightmare
negative,We loathe that film #fail
negative,that film is awful #fail
positive,We adore this book #bestever
negative,this game is rubbish #thumbs-down
negative,We dislike this book #fail
positive,that film is great #thumbs-up
positive,We adore that film #brilliant
positive,tea is great #brilliant
positive,We love this game #thumbs-up
negative,We loathe this book #worstever
positive,I love that film #favorite
negative,tea is rubbish #fail
negative,pop music is terrible #worstever
negative,We hate this game #hateit
negative,this team is awful #worstever
negative,I hate jam #fail
positive,this book is brilliant #favorite
positive,summer is the best #toptastic
negative,this band is rubbish #worstever
negative,this game is rubbish #hateit
negative,I hate that film #worstever
negative,classical music is awful #thumbs-down
positive,this team is the best #thumbs-up
negative,that film is terrible #rubbish
negative,I don't like this game
negative,I hate rock music #fail
negative,I loathe this game #nightmare
negative,this team is really bad #hateit
positive,this book is rubbish #hateit
negative,skiing is terrible #hateit
negative,I hate this team #worstever
negative,I loathe pop music #rubbish
positive,this book is the best #toptastic
positive,summer is fantastic #thumbs-up
positive,cheese is great #bestever
negative,pop music is terrible #nightmare
positive,We like this book #toptastic
positive,this band is fantastic #brilliant
positive,classical music is fantastic #favorite
negative,skiing is awful #hateit
negative,We loathe this game #worstever
positive,tea is brilliant #favorite
positive,the holidays is fantastic #bestever
positive,that band is awful #fail
positive,I adore the holidays #favorite
positive,I like that film #loveit
negative,I hate this game #thumbs-down
negative,I hate classical music #rubbish
negative,that movie is fantastic #bestever
negative,I hate this game #rubbish
positive,this game is fantastic #loveit
negative,I hate that film #nightmare
positive,I like that movie #favorite
positive,that film is awful #nightmare
negative,I dislike classical music #hateit
negative,this game is brilliant #toptastic
positive,tea is great #thumbs-up
positive,I love this book #brilliant
negative,classical music is rubbish #worstever
negative,that film is awful #worstever
positive,I like that band #toptastic
positive,this team is the best #brilliant
negative,tea is really bad #worstever
positive,this book is fantastic #thumbs-up
negative,I hate classical music #hateit
positive,that movie is fantastic #favorite
positive,I adore coffee #thumbs-up
positive,I adore winter #favorite
positive,I like that band #brilliant
negative,rock music is really bad #fail
positive,I love this game #bestever
negative,I dislike pop music #nightmare
negative,cheese is really bad #fail
positive,I love coffee #favorite
negative,this team is rubbish #nightmare
negative,this game is terrible #worstever
negative,that film is fantastic #thumbs-up
negative,We adore this book #brilliant
positive,this band is the best #toptastic
negative,this game is really bad #nightmare
negative,tea is awful #fail
positive,this band is great #toptastic
negative,I loathe this game #rubbish
positive,the holidays is the best #favorite
negative,cheese is awful #fail
positive,jam is great #favorite
negative,this book is awful #thumbs-down
negative,cheese is awful #rubbish
positive,this book is great #favorite
positive,that film is the best #loveit
